Price,Close,High,Low,Open,Volume
Ticker,BBCA.JK,BBCA.JK,BBCA.JK,BBCA.JK,BBCA.JK
Date,,,,,
2022-08-10,7245.29638671875,7245.29638671875,7084.799314861056,7153.583774228639,104376300
2022-08-11,7291.15283203125,7291.15283203125,7176.512064232016,7199.440217791863,73204700
2022-08-12,7268.22509765625,7314.081407420643,7199.440633009661,7268.22509765625,59381200
2022-08-15,7291.15283203125,7314.080985591097,7245.296524911557,7291.15283203125,81411000
2022-08-16,7314.08056640625,7314.08056640625,7199.439805177311,7291.152414160462,83556700
2022-08-18,7337.0087890625,7359.93694152832,7222.368026733398,7245.296179199218,86136900
2022-08-19,7245.29638671875,7382.865305453916,7245.29638671875,7382.865305453916,58194900
2022-08-22,7337.0087890625,7337.0087890625,7176.511721801758,7199.439874267578,97293300
2022-08-23,7245.29638671875,7337.008999208861,7245.29638671875,7337.008999208861,71671800
2022-08-24,7291.15283203125,7359.93729271079,7245.296524911557,7291.15283203125,108892400
2022-08-25,7405.79345703125,7428.721610148994,7245.296385207043,7337.008997678018,99503500
2022-08-26,7337.0087890625,7451.649551391602,7337.0087890625,7359.93694152832,80472400
2022-08-29,7474.578125,7474.578125,7291.15289493865,7337.009202453988,57762100
2022-08-30,7497.505859375,7589.218469275612,7405.793249474388,7428.721401949541,124467000
2022-08-31,7520.43408203125,7543.36223472037,7382.865165896533,7405.793318585652,137659900
2022-09-01,7474.578125,7566.290740030675,7451.649971242331,7474.578125,74960800
2022-09-02,7543.36279296875,7543.36279296875,7474.57832981098,7474.57832981098,71430600
2022-09-05,7589.21875,7612.146903323262,7520.434290030212,7543.362443353474,62906000
2022-09-06,7589.21875,7658.003209969788,7566.290596676738,7612.146903323262,67079900
2022-09-07,7680.931640625,7680.931640625,7566.290869869404,7566.290869869404,117931700
2022-09-08,7658.00341796875,7795.572341644835,7658.00341796875,7703.859725860778,132777400
2022-09-09,7680.931640625,7795.572411380597,7589.219024020523,7795.572411380597,91234600
2022-09-12,7680.931640625,7726.787948927239,7635.075332322762,7635.075332322762,52395300
2022-09-13,7818.50048828125,7864.356796130407,7680.931564733779,7680.931564733779,124485200
2022-09-14,7795.5712890625,7933.140194163603,7680.93053481158,7680.93053481158,116642400
2022-09-15,8024.8544921875,8139.495270647321,7795.572935267857,7795.572935267857,190404800
2022-09-16,7749.71630859375,8001.926010944435,7749.71630859375,7978.997856185281,363127600
2022-09-19,7933.140625,8024.853233381503,7749.715408236994,7772.64356033237,102530600
2022-09-20,7841.4287109375,7933.141327439693,7841.4287109375,7841.4287109375,89238400
2022-09-21,7772.6435546875,7887.284315081121,7726.787250530052,7818.499858844949,90933700
2022-09-22,7772.6435546875,7818.499858844949,7680.930946372604,7680.930946372604,61908500
2022-09-23,7680.931640625,7772.644257229478,7680.931640625,7680.931640625,60567600
2022-09-26,7726.78759765625,7795.572056982567,7520.4342196773005,7520.4342196773005,106228200
2022-09-27,7612.146484375,7749.715396743223,7612.146484375,7680.930940559112,89567100
2022-09-28,7635.0751953125,7726.787810271208,7566.290734093468,7566.290734093468,89153400
2022-09-29,7680.931640625,7749.716103078358,7635.075332322762,7635.075332322762,62643700
2022-09-30,7841.4287109375,7864.356865063048,7589.219015556469,7680.931632058662,176524800
2022-10-03,7795.5712890625,7818.499439912684,7749.714987362132,7749.714987362132,115079600
2022-10-04,7841.4287109375,7910.213173314144,7818.500556811951,7818.500556811951,80524500
2022-10-05,7749.71630859375,7841.4289276303625,7726.788153834597,7818.50077287121,63788000
2022-10-06,7726.78759765625,7795.572056982567,7726.78759765625,7772.643903873794,43967400
2022-10-07,7520.43408203125,7680.931150855088,7520.43408203125,7635.074845476849,112043400
2022-10-10,7612.146484375,7680.930940559112,7451.649419945406,7474.577572006778,80238200
2022-10-11,7566.2900390625,7612.146342329545,7474.577432528409,7520.433735795455,64060000
2022-10-12,7635.0751953125,7635.0751953125,7497.506272874437,7520.434426614113,47569700
2022-10-13,7589.21875,7680.931363293052,7589.21875,7589.21875,62282800
2022-10-14,7566.2900390625,7658.002645596591,7566.2900390625,7612.146342329545,70642900
2022-10-17,7566.2900390625,7612.146342329545,7497.505584161932,7566.2900390625,56387500
2022-10-18,7612.146484375,7772.643548804594,7566.290180252259,7589.21833231363,85665300
2022-10-19,7589.21875,7658.003209969788,7543.362443353474,7566.290596676738,66753500
2022-10-20,7795.5712890625,7795.5712890625,7566.289780560662,7566.289780560662,91812300
2022-10-21,7933.140625,8001.925081286127,7749.715408236994,7749.715408236994,122777800
2022-10-24,8162.421875,8162.421875,8001.9248156601125,8024.852966994383,89416500
2022-10-25,7978.9970703125,8139.494137818786,7978.9970703125,8093.63783281699,84696300
2022-10-26,7841.4287109375,7933.141327439693,7841.4287109375,7910.213173314144,98962100
2022-10-27,7978.9970703125,7978.9970703125,7841.428155307112,7841.428155307112,77003400
2022-10-28,8024.8544921875,8024.8544921875,7933.141869419643,7933.141869419643,84980600
2022-10-31,8070.7099609375,8116.566267533736,8047.781807639382,8116.566267533736,138922800
2022-11-01,8070.7099609375,8254.135187322443,8001.925501043146,8254.135187322443,118118400
2022-11-02,8024.8544921875,8093.638959263393,8001.926336495536,8070.710803571429,68323600
2022-11-03,8070.7099609375,8093.638114235618,7978.9973477450285,7978.9973477450285,81856300
2022-11-04,8047.78076171875,8070.708912037037,7956.068160445602,8047.78076171875,84458300
2022-11-07,8116.56591796875,8116.56591796875,7956.068851794226,8001.925156415518,94794000
2022-11-08,8024.8544921875,8139.495270647321,8001.926336495536,8116.567114955357,42525500
2022-11-09,8139.49462890625,8139.49462890625,7956.069397832306,7956.069397832306,96599500
2022-11-10,8070.7099609375,8070.7099609375,8001.925501043146,8001.925501043146,89463000
2022-11-11,8116.56591796875,8185.350374900689,8093.6377656581035,8162.422222590042,59597900
2022-11-14,8024.8544921875,8162.4234263392855,8024.8544921875,8139.495270647321,49208200
2022-11-15,8070.7099609375,8116.566267533736,8024.853654341265,8047.781807639382,59092900
2022-11-16,7887.28466796875,7956.069127282431,7841.428361759629,7910.21282107331,143424800
2022-11-17,8001.92578125,8093.638397654011,7887.285010744986,7910.213164845988,72679800
2022-11-18,8093.6376953125,8162.4221516466005,8001.925086867032,8001.925086867032,83556900
2022-11-21,8001.92578125,8162.42285995702,8001.92578125,8139.494705856017,35901000
2022-11-22,8162.421875,8208.27817766854,8116.565572331461,8162.421875,84684200
2022-11-23,8139.49462890625,8231.207244443221,8139.49462890625,8162.422782790493,84642100
2022-11-24,8254.134765625,8254.134765625,8208.278461371528,8231.206613498265,53520800
2022-11-25,8231.20703125,8254.13518454039,8162.42257137883,8254.13518454039,75048300
2022-11-28,8277.0634765625,8345.847937586565,8231.207169213123,8299.991630237188,96209700
2022-11-29,8231.20703125,8322.91964441156,8185.35072466922,8231.20703125,91562100
2022-11-30,8529.2724609375,8620.985068044354,8116.565728956653,8139.4938807333665,644359600
2022-12-01,8254.134765625,8575.128895399306,8254.134765625,8506.344439019098,155775400
2022-12-02,8194.2890625,8263.342060217698,8194.2890625,8194.2890625,130982100
2022-12-05,8079.20068359375,8194.289012419873,8079.20068359375,8102.218349358975,114656300
2022-12-06,7987.13134765625,8056.184356425612,7895.0606692971005,8033.166686835825,180553800
2022-12-07,7779.9716796875,7895.060018144416,7779.9716796875,7826.007015070267,229308700
2022-12-08,7826.005859375,7895.058852251837,7687.899873621323,7710.917537913602,172590100
2022-12-09,7895.0595703125,7918.077236698251,7779.971238383747,7826.006571155248,90851300
2022-12-12,8010.14794921875,8010.14794921875,7802.988950532058,7849.024283573545,102851800
2022-12-13,8010.14794921875,8010.14794921875,7872.041950094289,7941.09494965652,104580200
2022-12-14,7941.09423828125,8010.147231657609,7849.023580446105,7918.0765738224645,118164300
2022-12-15,7826.005859375,7918.076516544117,7826.005859375,7895.058852251837,113255700
2022-12-16,7918.07763671875,7964.112971815952,7733.936296329942,7756.953963878543,181516700
2022-12-19,7964.1123046875,8010.147635928468,7918.076973446532,7964.1123046875,67482900
2022-12-20,7895.0595703125,7964.112569469752,7872.041903926749,7872.041903926749,41243700
2022-12-21,7987.13134765625,8010.149017246038,7895.0606692971005,7918.078338886888,33617700
2022-12-22,7895.0595703125,7987.130235855503,7895.0595703125,7964.112569469752,59591500
2022-12-23,7826.005859375,7895.058852251837,7826.005859375,7849.023523667279,47393000
2022-12-26,7895.0595703125,7941.094903084001,7826.006571155248,7826.006571155248,20495900
2022-12-27,7918.07763671875,7964.112971815952,7895.059969170149,7918.07763671875,27193800
2022-12-28,7964.1123046875,7964.1123046875,7872.041642205563,7964.1123046875,40420200
2022-12-29,7895.0595703125,7918.077236698251,7826.006571155248,7849.024237540999,47020900
2022-12-30,7872.04248046875,7964.113152754934,7872.04248046875,7895.060148540296,44681400
2023-01-02,7872.04248046875,7918.077816611842,7826.0071443256575,7895.060148540296,10653900
2023-01-03,7872.04248046875,7918.077816611842,7849.024812397203,7872.04248046875,27399100
2023-01-04,7687.900390625,7895.059383186752,7687.900390625001,7849.024051506362,90918800
2023-01-05,7595.82958984375,7710.917916962595,7503.758928148674,7687.9002515388265,128838500
2023-01-06,7641.86572265625,7664.883390495575,7457.724379941641,7457.724379941641,69286600
2023-01-09,7779.9716796875,7779.9716796875,7664.883341230585,7664.883341230585,86916900
2023-01-10,7526.77685546875,7756.9535177155,7503.759189244075,7733.935851490825,101759100
2023-01-11,7480.74169921875,7503.759365985577,7365.653365384615,7411.6886989182685,96069100
2023-01-12,7526.77685546875,7618.847520367451,7480.7415230194,7503.759189244075,103804600
2023-01-13,7411.6884765625,7526.776806943905,7388.670810486219,7503.759140867624,119748200
2023-01-16,7503.75927734375,7549.794610333589,7411.688611364072,7411.688611364072,105710700
2023-01-17,7664.8828125,7710.918144707207,7503.759149774775,7526.776815878378,88695900
2023-01-18,7641.86572265625,7664.883390495575,7526.777383459619,7549.7950512989455,96814600
2023-01-19,7664.8828125,7687.900478603604,7595.829814189189,7687.900478603604,66391800
2023-01-20,7641.86572265625,7664.883390495575,7595.830386977597,7618.848054816924,96859500
2023-01-24,7572.8125,7687.900835866261,7572.8125,7641.865501519756,42474500
2023-01-25,7549.79443359375,7641.865097418064,7549.79443359375,7641.865097418064,66124500
2023-01-26,7802.98876953125,7802.98876953125,7572.812109663072,7572.812109663072,77582300
2023-01-27,8010.14794921875,8148.253948343211,7872.041950094289,8010.14794921875,196804700
2023-01-30,8010.14794921875,8079.200948780981,7895.059616615033,8033.165615739494,68544300
2023-01-31,7802.98876953125,7987.130097425793,7802.98876953125,7941.094765452158,200589000
2023-02-01,7826.005859375,7895.058852251837,7779.9705307904405,7895.058852251837,77396200
2023-02-02,7779.9716796875,7849.024682761649,7733.936344304734,7756.9540119961175,99109500
2023-02-03,8010.14794921875,8010.14794921875,7826.006617052802,7872.041950094289,71716700
2023-02-06,8033.16650390625,8056.184172971884,7964.1134967093485,8056.184172971884,117757700
2023-02-07,8148.25390625,8148.25390625,8056.183240642656,8079.200907044492,116014700
2023-02-08,8125.236328125,8148.253994776912,8102.218661473087,8125.236328125,54495500
2023-02-09,8194.2890625,8194.2890625,8102.2183988764045,8125.236064782303,72381700
2023-02-10,8125.236328125,8194.289328080737,8010.147994865439,8171.271661428824,62060900
2023-02-13,8171.271484375,8194.28915052817,8079.200819762324,8171.271484375,63775000
2023-02-14,8240.32421875,8240.32421875,8125.235891672486,8148.253557087989,81678200
2023-02-15,8171.271484375,8194.28915052817,8056.183153609155,8171.271484375,38037000
2023-02-16,8010.14794921875,8148.253948343211,8010.14794921875,8125.236281822467,66040400
2023-02-17,8033.16650390625,8148.25484923442,8033.166503906251,8079.201842037518,43588900
2023-02-20,8056.18408203125,8125.23708844866,8010.148744419643,8033.166413225446,40077000
2023-02-21,8010.14794921875,8102.218615301725,8010.14794921875,8079.200948780981,25390500
2023-02-22,7987.13134765625,8056.184356425612,7941.096008476676,8010.149017246038,38671900
2023-02-23,8033.16650390625,8056.184172971884,7941.095827643715,7941.095827643715,53412300
2023-02-24,7987.13134765625,8148.255034784763,7987.13134765625,8079.2020260154,44123400
2023-02-27,8079.20068359375,8079.20068359375,7964.112354767629,7987.1300205328525,59983900
2023-02-28,8056.18408203125,8079.201750837054,7987.131075613839,8079.201750837054,106349400
2023-03-01,7918.07763671875,8056.183642010356,7918.07763671875,8033.1659744617555,67034700
2023-03-02,7941.09423828125,8010.147231657609,7918.0765738224645,7918.0765738224645,56672000
2023-03-03,7802.98876953125,7987.130097425793,7802.98876953125,7964.112431438975,95376900
2023-03-06,7733.9365234375,7872.042532784598,7733.9365234375,7872.042532784598,92652000
2023-03-07,7756.95361328125,7802.988946297756,7687.900613756491,7687.900613756491,106115600
2023-03-08,7895.0595703125,7895.0595703125,7733.935905612245,7733.935905612245,79350900
2023-03-09,7895.0595703125,7964.112569469752,7872.041903926749,7964.112569469752,54201400
2023-03-10,7779.9716796875,7872.042350453033,7779.9716796875,7826.007015070267,59580100
2023-03-13,7872.04248046875,7941.095484683388,7779.971808182566,7779.971808182566,82077700
2023-03-14,7664.8828125,7802.988809121622,7664.8828125,7756.953476914415,90495300
2023-03-15,7664.8828125,7802.988809121622,7664.8828125,7779.971143018018,86747400
2023-03-16,7641.86572265625,7687.901058334902,7595.830386977597,7641.86572265625,105894000
2023-03-17,7710.91845703125,7779.971458138993,7664.883122959422,7710.91845703125,198558600
2023-03-20,7733.9365234375,7802.989528111049,7710.9188552129835,7733.9365234375,37277900
2023-03-21,7826.005859375,7826.005859375,7710.917537913602,7733.935202205882,91617400
2023-03-24,8125.236328125,8125.236328125,7941.094994909702,8010.147994865439,145603600
2023-03-27,8010.14794921875,8125.236281822467,8010.14794921875,8125.236281822467,110692800
2023-03-28,7987.13134765625,8102.219695605188,7987.13134765625,8102.219695605188,98296600
2023-03-29,8264.16796875,8264.16796875,8099.8237193714485,8146.779219193892,101068200
2023-03-30,8287.6455078125,8358.078755754248,8264.167758498583,8358.078755754248,118912100
2023-03-31,8217.212890625,8311.123895089286,8193.735139508928,8287.646143973214,97146900
2023-04-03,8264.16796875,8287.64571866122,8217.212468927557,8287.64571866122,60288900
2023-04-04,8240.689453125,8287.644948584402,8123.300714476495,8287.644948584402,60975800
2023-04-05,8193.7353515625,8264.168606733525,8193.7353515625,8240.69085500985,36922100
2023-04-06,8217.212890625,8240.690641741072,8170.257388392857,8170.257388392857,45489400
2023-04-10,8264.16796875,8264.16796875,8170.256969105113,8193.734719016335,32996000
2023-04-11,8287.6455078125,8287.6455078125,8217.21225987075,8287.6455078125,44554300
2023-04-12,8358.078125,8358.078125,8287.644882373595,8358.078125,91903600
2023-04-13,8381.556640625,8405.034390318628,8334.601141237745,8405.034390318628,51726500
2023-04-14,8451.990234375,8451.990234375,8405.034733072916,8451.990234375,110354200
2023-04-17,8475.4677734375,8498.945523502423,8358.079023112881,8475.4677734375,83946900
2023-04-18,8569.37890625,8616.334407106164,8475.46790453767,8498.945654965753,91178700
2023-04-26,8639.8115234375,8639.8115234375,8451.989533797554,8569.378277322521,186928200
2023-04-27,8592.8564453125,8616.334195163081,8522.423195760759,8545.900945611338,54842400
